"",GOPENS,GSCS,GSTS,GVJS,GNT1S,GNT2S,GNT3S,GOBCS,LOPENS,LSCS,LSTS,LVJS,LNT1S,LNT2S,LOBCS,PWDOPENS,DEFOPENS,TFWS,DEFROBCS,EWS
I,"21750
(85.7691222)","32144
(78.5189539)","49581
(65.3394562)","30806
(79.5415810)","23850
(84.2624154)","23704
(84.4335948)","44825
(68.9918585)","25843
(83.0877787)","22019
(85.5868079)","27275
(82.0130279)","57303
(58.0509972)","33671
(77.3804659)","68369
(46.0655482)","47003
(67.2915815)","23336
(84.6567494)","62892
(51.9482809)","46444
(67.7749226)","16897
(88.8866448)","71028
(44.1945416)","26147
(82.7767101)"
"",GOPENS,GSCS,GSTS,GVJS,GNT1S,GNT2S,GNT3S,GOBCS,LOPENS,LSCS,LSTS,LVJS,LNT1S,LNT2S,LOBCS,PWDOPENS,DEFOPENS,TFWS,"PWDROBC
S",DEFROBCS,EWS
I,"4731
(96.8328566)","8734
(94.2649898)","32517
(78.1762608)","16689
(89.0926089)","9216
(93.9671026)","5013
(96.6278018)","10315
(93.2254498)","5452
(96.3605852)","4280
(97.1143109)","13443
(91.1411105)","24468
(83.9803841)","13177
(91.3860690)","8590
(94.3333506)","15015
(90.1502416)","5729
(96.2010124)","27025
(82.1745519)","11104
(92.7475757)","3541
(97.5903614)","42953
(70.7140758)","23851
(84.2624154)","5378
(96.3865715)"
"",GOPENS,GSCS,GSTS,GVJS,GNT1S,GNT2S,GNT3S,GOBCS,LOPENS,LSCS,LSTS,LVJS,LNT1S,LNT2S,LOBCS,PWDOPENS,DEFOPENS,TFWS,"PWDROBC
S",DEFROBCS,EWS
I,"6919
(95.3951022)","15257
(90.0276575)","44970
(68.5685433)","22403
(85.2776363)","12800
(91.5971454)","10065
(93.3643237)","13598
(91.0594030)","7557
(94.9929881)","7932
(94.7678084)","17620
(88.4849114)","38033
(74.2590255)","28406
(81.2701101)","17143
(88.7526385)","17062
(88.7543704)","8290
(94.5367331)","62864
(51.9482809)","22103
(85.4775879)","5980
(96.0417728)","62924
(51.9482809)","24845
(83.6917866)","8743
(94.2649898)"
"",GOPENS,GSCS,GSTS,GVJS,GNT1S,GNT2S,GNT3S,GOBCS,LOPENS,LSCS,LSTS,LVJS,LNT1S,LNT2S,LOBCS,PWDOPENS,DEFOPENS,TFWS,PWDRSCS,DEFROBCS,EWS
I,"18371
(87.9438958)","31678
(78.9161727)","42891
(70.7243564)","40873
(72.1238249)","34210
(77.2185430)","20292
(86.7142129)","58257
(56.6347972)","21196
(86.0186822)","19487
(87.2410374)","23172
(84.7756139)","31032
(79.3664875)","62714
(52.0169076)","40853
(72.1238249)","32862
(78.0626182)","22983
(84.7973150)","82209
(30.1146048)","38413
(73.8187976)","15892
(89.5517066)","89352
(20.0646488)","45518
(68.3243751)","24661
(83.6967382)"
